FID,id,the_geom,port,port_id,portcode,country,year,tonnagesize,nofvessels,gross_tonnage__gt_thousand,tonnageindex
portvesselsbytonnage.215820,202,POINT (23.0468355000001 58.86706650000002),Heltermaa,EEHLT,EE_0EEHLT,EE,2025,From 5 000 to 5 999 gross tonnage,,,8
portvesselsbytonnage.215819,202,POINT (23.0468355000001 58.86706650000002),Heltermaa,EEHLT,EE_0EEHLT,EE,2025,From 4 000 to 4 999 gross tonnage,,,7
portvesselsbytonnage.215821,202,POINT (23.0468355000001 58.86706650000002),Heltermaa,EEHLT,EE_0EEHLT,EE,2025,Total,,,0
portvesselsbytonnage.217694,203,POINT (26.551086426000097 59.5191040040001),Kunda,EEKND,EE_0EEKND,EE,2025,From 30 000 to 39 999 gross tonnage,,,15
portvesselsbytonnage.217693,203,POINT (26.551086426000097 59.5191040040001),Kunda,EEKND,EE_0EEKND,EE,2025,From 20 000 to 29 999 gross tonnage,,,14
portvesselsbytonnage.217692,203,POINT (26.551086426000097 59.5191040040001),Kunda,EEKND,EE_0EEKND,EE,2025,From 10 000 to 19 999 gross tonnage,,,13
portvesselsbytonnage.217691,203,POINT (26.551086426000097 59.5191040040001),Kunda,EEKND,EE_0EEKND,EE,2025,From 8 000 to 8 999 gross tonnage,,,11
portvesselsbytonnage.217690,203,POINT (26.551086426000097 59.5191040040001),Kunda,EEKND,EE_0EEKND,EE,2025,From 7 000 to 7 999 gross tonnage,,,10
portvesselsbytonnage.217689,203,POINT (26.551086426000097 59.5191040040001),Kunda,EEKND,EE_0EEKND,EE,2025,From 6 000 to 6 999 gross tonnage,,,9
portvesselsbytonnage.217688,203,POINT (26.551086426000097 59.5191040040001),Kunda,EEKND,EE_0EEKND,EE,2025,From 5 000 to 5 999 gross tonnage,,,8
portvesselsbytonnage.217687,203,POINT (26.551086426000097 59.5191040040001),Kunda,EEKND,EE_0EEKND,EE,2025,From 4 000 to 4 999 gross tonnage,,,7
portvesselsbytonnage.217686,203,POINT (26.551086426000097 59.5191040040001),Kunda,EEKND,EE_0EEKND,EE,2025,From 3 000 to 3 999 gross tonnage,,,6
portvesselsbytonnage.217685,203,POINT (26.551086426000097 59.5191040040001),Kunda,EEKND,EE_0EEKND,EE,2025,From 2 000 to 2 999 gross tonnage,,,5
portvesselsbytonnage.217684,203,POINT (26.551086426000097 59.5191040040001),Kunda,EEKND,EE_0EEKND,EE,2025,From 1 000 to 1 999 gross tonnage,,,4
portvesselsbytonnage.217683,203,POINT (26.551086426000097 59.5191040040001),Kunda,EEKND,EE_0EEKND,EE,2025,From 500 to 999 gross tonnage,,,3
portvesselsbytonnage.217682,203,POINT (26.551086426000097 59.5191040040001),Kunda,EEKND,EE_0EEKND,EE,2025,From 100 to 499 gross tonnage,,,2
portvesselsbytonnage.217681,203,POINT (26.551086426000097 59.5191040040001),Kunda,EEKND,EE_0EEKND,EE,2025,Less than 100 gross tonnage,,,1
portvesselsbytonnage.217695,203,POINT (26.551086426000097 59.5191040040001),Kunda,EEKND,EE_0EEKND,EE,2025,Total,,,0
portvesselsbytonnage.217868,204,POINT (23.396318500000007 58.573649500000045),Kuivastu,EEKUI,EE_0EEKUI,EE,2025,From 5 000 to 5 999 gross tonnage,,,8
portvesselsbytonnage.217867,204,POINT (23.396318500000007 58.573649500000045),Kuivastu,EEKUI,EE_0EEKUI,EE,2025,From 4 000 to 4 999 gross tonnage,,,7
portvesselsbytonnage.217869,204,POINT (23.396318500000007 58.573649500000045),Kuivastu,EEKUI,EE_0EEKUI,EE,2025,Total,,,0
portvesselsbytonnage.218825,205,POINT (24.81530761700003 59.498474121000015),Miiduranna,EEMDR,EE_0EEMDR,EE,2025,From 20 000 to 29 999 gross tonnage,,,14
portvesselsbytonnage.218824,205,POINT (24.81530761700003 59.498474121000015),Miiduranna,EEMDR,EE_0EEMDR,EE,2025,From 10 000 to 19 999 gross tonnage,,,13
portvesselsbytonnage.218823,205,POINT (24.81530761700003 59.498474121000015),Miiduranna,EEMDR,EE_0EEMDR,EE,2025,From 9 000 to 9 999 gross tonnage,,,12
portvesselsbytonnage.218822,205,POINT (24.81530761700003 59.498474121000015),Miiduranna,EEMDR,EE_0EEMDR,EE,2025,From 8 000 to 8 999 gross tonnage,,,11
portvesselsbytonnage.218821,205,POINT (24.81530761700003 59.498474121000015),Miiduranna,EEMDR,EE_0EEMDR,EE,2025,From 7 000 to 7 999 gross tonnage,,,10
portvesselsbytonnage.218820,205,POINT (24.81530761700003 59.498474121000015),Miiduranna,EEMDR,EE_0EEMDR,EE,2025,From 6 000 to 6 999 gross tonnage,,,9
portvesselsbytonnage.218819,205,POINT (24.81530761700003 59.498474121000015),Miiduranna,EEMDR,EE_0EEMDR,EE,2025,From 5 000 to 5 999 gross tonnage,,,8
portvesselsbytonnage.218818,205,POINT (24.81530761700003 59.498474121000015),Miiduranna,EEMDR,EE_0EEMDR,EE,2025,From 4 000 to 4 999 gross tonnage,,,7
portvesselsbytonnage.218817,205,POINT (24.81530761700003 59.498474121000015),Miiduranna,EEMDR,EE_0EEMDR,EE,2025,From 3 000 to 3 999 gross tonnage,,,6
portvesselsbytonnage.218816,205,POINT (24.81530761700003 59.498474121000015),Miiduranna,EEMDR,EE_0EEMDR,EE,2025,From 2 000 to 2 999 gross tonnage,,,5
portvesselsbytonnage.218815,205,POINT (24.81530761700003 59.498474121000015),Miiduranna,EEMDR,EE_0EEMDR,EE,2025,From 1 000 to 1 999 gross tonnage,,,4
portvesselsbytonnage.218814,205,POINT (24.81530761700003 59.498474121000015),Miiduranna,EEMDR,EE_0EEMDR,EE,2025,From 500 to 999 gross tonnage,,,3
portvesselsbytonnage.218813,205,POINT (24.81530761700003 59.498474121000015),Miiduranna,EEMDR,EE_0EEMDR,EE,2025,From 100 to 499 gross tonnage,,,2
portvesselsbytonnage.218826,205,POINT (24.81530761700003 59.498474121000015),Miiduranna,EEMDR,EE_0EEMDR,EE,2025,Total,,,0
portvesselsbytonnage.219057,206,POINT (24.749117000000012 59.447878499999945),Patareisadam,EEPAR,EE_0EEPAR,EE,2025,From 500 to 999 gross tonnage,,,3
portvesselsbytonnage.219056,206,POINT (24.749117000000012 59.447878499999945),Patareisadam,EEPAR,EE_0EEPAR,EE,2025,From 100 to 499 gross tonnage,,,2
portvesselsbytonnage.219055,206,POINT (24.749117000000012 59.447878499999945),Patareisadam,EEPAR,EE_0EEPAR,EE,2025,Less than 100 gross tonnage,,,1
portvesselsbytonnage.219058,206,POINT (24.749117000000012 59.447878499999945),Patareisadam,EEPAR,EE_0EEPAR,EE,2025,Total,,,0
portvesselsbytonnage.220101,207,POINT (24.47009277300009 58.374877930000025),Pärnu,EEPRN,EE_0EEPRN,EE,2025,From 10 000 to 19 999 gross tonnage,,,13
portvesselsbytonnage.220100,207,POINT (24.47009277300009 58.374877930000025),Pärnu,EEPRN,EE_0EEPRN,EE,2025,From 8 000 to 8 999 gross tonnage,,,11
portvesselsbytonnage.220099,207,POINT (24.47009277300009 58.374877930000025),Pärnu,EEPRN,EE_0EEPRN,EE,2025,From 7 000 to 7 999 gross tonnage,,,10
portvesselsbytonnage.220098,207,POINT (24.47009277300009 58.374877930000025),Pärnu,EEPRN,EE_0EEPRN,EE,2025,From 6 000 to 6 999 gross tonnage,,,9
portvesselsbytonnage.220097,207,POINT (24.47009277300009 58.374877930000025),Pärnu,EEPRN,EE_0EEPRN,EE,2025,From 5 000 to 5 999 gross tonnage,,,8
portvesselsbytonnage.220096,207,POINT (24.47009277300009 58.374877930000025),Pärnu,EEPRN,EE_0EEPRN,EE,2025,From 4 000 to 4 999 gross tonnage,,,7
