DETAILS,,,,,,,,,,EXTENT ,,,CARBON STOCK,,,,CARBON FLUX,,,,ENVIRONMENTAL DRIVERS,,,,,,,,,,,HUMAN/ CLIMATE CHANGE- DRIVEN PRESSURES,,,,,,,,,,DEGRADATION/ LOSS,,,,,CO-BENEFITS/ ECOSYSTEM SERVICES ,,,,,,,,,,UNCERTAINTY/RISK,
ID,Source:,Site Name,Region,Year,Water_depth_m,Habitat ,Sediment_type,Sample_size_n,Dry_bulk_density_g_cm3,Area_m2,Percent_cover,Depth_mean_m,Sediment_C_stock_g_m2,Carbon_stock_SD,Sediment_depth_cm,Biomass_C_g_m2,Data source: ,Sequestration_rate_g/m2/yr,Carbon_burial_rate_g/m2/yr,NPP_g_m2_year,Temperature_mean_C,Temp_min_C,Temp_max_C,Salinity_psu,Wave_exposure_index,Current_velocity_m/s,Sediment_grain_size_um,Distance_to_river_km,Nutrient_N_mg_L,Nutrient_P_mg_L,Shoot_density_per_m2,Data source: ,Eutrophication_index,Coastal_development_index,Pollution_index,Bottom_trawling_intensity,Anchoring_intensity ,Marine_heatwave_frequency,Temperature_anomaly_C,Storm_frequency,Fragmentation_index,Annual_area_loss_percent,Biomass_decline_rate_percent_yr,Carbon_loss_rate_g_m2_yr,Disturbance_frequency,Recovery_rate_percent_yr,Aboveground_biomass_g_m2,Belowground_biomass_g_m2,AB/BG_ratio ,Species_richness,Faunal_abundance_per_m2,Fish_biomass_g_m2,Nursery_species_count,Sediment_stabilization_percent,Wave_attenuation_percent,Water_clarity_change_NTU,Risk acknowledgement ,Confidence note
1,Gagnon et al. 2024,Sømskilen,South West (Skagerrak),2017,3,Eelgrass,Muddy sand,3,0.25,,,,9166.59,,50,,,,,,8.9,-1,21.3,19.1,6472,,,,,,,,,,,,,,,,,,,,,,215.2,66.9,3.22,,,,,,,,,
2,Gagnon et al. 2025,Sømskilen,South West (Skagerrak),2017,3,Unvegetated,Muddy sand,3,0.31,,,,6443.67,,50,,,,,,8.9,-1,21.3,19.1,6472,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,,,,,,,,,
3,Gagnon et al. 2026,Ærøya,South West (Skagerrak),2017,3,Eelgrass,Coarse sand/gravel,2,1.55,,,,520.6,,50,,,,,,9.1,0.01,21.2,25.3,50606,,,,,,,,,,,,,,,,,,,,,,44.3,93.2,0.48,,,,,,,,,
4,Gagnon et al. 2027,Ærøya,South West (Skagerrak),2017,3,Unvegetated,Coarse sand/gravel,3,1.6,,,,218.91,,50,,,,,,9.1,0.01,21.2,25.3,50606,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,,,,,,,,,
5,Gagnon et al. 2028,Merdø,South West (Skagerrak),2017,3,Eelgrass,Sand,3,1.66,,,,373.77,,50,,,,,,8.9,-0.4,20.8,26.8,50958,,,,,,,,,,,,,,,,,,,,,,161,270.4,0.6,,,,,,,,,
6,Gagnon et al. 2029,Merdø,South West (Skagerrak),2017,3,Unvegetated,Sand,3,1.66,,,,211.52,,50,,,,,,8.9,-0.4,20.8,26.8,50958,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,,,,,,,,,
7,Gagnon et al. 2030,Langerompa,South West (Skagerrak),2017,3,Eelgrass,Mud,2,0.39,,,,9420.29,,50,,,,,,8.9,-0.4,20.9,26.6,12882,,,,,,,,,,,,,,,,,,,,,,350.9,97.4,3.6,,,,,,,,,
8,Gagnon et al. 2031,Langerompa,South West (Skagerrak),2017,3,Unvegetated,Coarse sand/gravel,3,1.21,,,,1571.03,,50,,,,,,8.9,-0.4,20.9,26.6,12882,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,,,,,,,,,
9,Gagnon et al. 2032,Langerompa,South West (Skagerrak),2017,7.5,Eelgrass,Mud,3,0.51,,,,4434.59,,50,,,,,,8.9,-0.4,20.9,26.6,12882,,,,,,,,,,,,,,,,,,,,,,125.7,19.1,6.6,,,,,,,,,
10,Gagnon et al. 2033,Langerompa,South West (Skagerrak),2017,7.5,Unvegetated,Coarse sand/gravel,2,1.62,,,,980.46,,50,,,,,,8.9,-0.4,20.9,26.6,12882,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,,,,,,,,,
