FID,country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_from,valid_to,water_depth,coast_dist,remarks,the_geom
platforms.559,Norway,277489,Operational,OSEBERG ØST,Fixed steel,Above water production,Equinor Energy AS,NO_30/6,Crude Oil,6782,9540,,19990503,,157,92467.8005761,JACKET 4 LEGS; DRILLING - PROCESSING - QUARTER,POINT (2.935219400000051 60.70049720000003)
platforms.565,Norway,277713,Operational,NJORD A,Floating steel,Above water production,Equinor Energy AS,NO_6407/7,Crude Oil,10701,15405,,19971001,,330,73848.4842263,SEMISUB STEEL; DRILLING - OIL PRODUCER - PROCESSING - QUARTER,POINT (7.201522200000056 64.27098890000008)
platforms.568,Norway,272589,Operational,STATFJORD B-OLS,Other,Other,Equinor Energy AS,NO_33/12,Crude Oil,3949,1449,,19900801,,146,144913.426747,LOADING SYSTEM; OFFLOADING,POINT (1.838644400000021 61.22441670000006)
platforms.579,Norway,271777,Operational,HEIMDAL,Fixed steel,Above water production,Equinor Energy AS,NO_25/4,Natural Gas,16200,20600,,19851015,,120,151909.426404,JACKET 8 LEGS; DISTRIBUTION - DRILLING - OIL PRODUCER - PROCESSING - QUARTER - WELLHEAD,POINT (2.228805600000044 59.57416110000008)
platforms.584,Norway,272365,Operational,SLEIPNER A,Gravity-based concrete,Above water production,Equinor Energy AS,NO_15/9,Natural Gas,241360,43822,,19931001,,83,197818.536407,CONDEEP 4 SHAFTS; DRILLING - PROCESSING - QUARTER,POINT (1.9086139000000344 58.367313900000056)
platforms.594,Norway,277629,Operational,SLEIPNER T,Fixed steel,Above water production,Equinor Energy AS,NO_15/9,Natural Gas,6478,21804,,19970401,,82.5,197847.360339,JACKET 6 LEGS; PROCESSING,POINT (1.9064806000000658 58.36860560000008)
platforms.600,Norway,280849,Operational,RINGHORNE,Fixed steel,Above water production,Vår Energi ASA,NO_25/8,Crude Oil,9164,12590,,20030210,,128.5,136505.734631,JACKET 4 LEGS; DRILLING - PROCESSING - QUARTER,POINT (2.4498583000000735 59.266058300000054)
platforms.613,Norway,272085,Operational,SNORRE A,Floating steel,Above water production,Equinor Energy AS,NO_34/7,Crude Oil,17586,43435,,19920803,,335,130734.298078,TLP STEEL; DRILLING - PROCESSING - QUARTER,POINT (2.1443444000000227 61.44933610000004)
platforms.624,Norway,272897,Operational,OSEBERG B,Fixed steel,Above water production,Equinor Energy AS,NO_30/9,Crude Oil,18800,15019,,19881201,,108,105093.422899,JACKET 8 LEGS; DRILLING,POINT (2.8282528000000298 60.49333890000008)
platforms.630,Norway,271917,Operational,GULLFAKS B,Gravity-based concrete,Above water production,Equinor Energy AS,NO_34/10,Crude Oil,233000,27395,,19880229,,141,125283.816838,CONDEEP 4 SHAFTS; DRILLING - OIL PRODUCER - PROCESSING - QUARTER - STORAGE,POINT (2.20130000000006 61.20291670000006)
platforms.639,Norway,271273,Operational,STATFJORD A,Gravity-based concrete,Above water production,Equinor Energy AS,NO_33/9,Crude Oil,254000,41300,,19791124,,145,144580.03236,CONDEEP 3 SHAFTS; DRILLING - PROCESSING - QUARTER - STORAGE,POINT (1.8538750000000732 61.255683300000044)
platforms.644,Norway,272617,Decommissioned,STATFJORD C-SPM,Other,Other,Equinor Energy AS,NO_33/9,Crude Oil,3949,1449,,19840701,,145,143445.504343,LOADING SYSTEM; OFFLOADING,POINT (1.883833300000049 61.28105560000006)
platforms.647,Norway,279365,Decommissioned,JOTUN B,Fixed steel,Above water production,Vår Energi ASA,NO_25/8,Crude Oil,9346,12182,,19991021,,127,142074.00532,JACKET 4 LEGS; DRILLING - WELLHEAD,POINT (2.366908300000034 59.451019400000064)
platforms.628,Norway,279393,Operational,JOTUN A,Floating steel,Above water production,Vår Energi ASA,NO_25/8,Crude Oil,,37061,,19991021,,126,141033.098772,FPSO; OFFLOADING - OIL PRODUCER - PROCESSING - QUARTER - STORAGE,POINT (2.3863583000000403 59.455255600000044)
platforms.658,Norway,277405,Operational,BRAGE,Fixed steel,Above water production,Wintershall Dea Norge AS,NO_31/4,Crude Oil,13200,19200,,19930923,,136,92296.2343784,JACKET 8 LEGS; DRILLING - PROCESSING - QUARTER,POINT (3.0467972000000714 60.54255830000005)
platforms.661,Norway,272421,Operational,HEIDRUN,Floating concrete,Above water production,Equinor Energy AS,NO_6507/7,Crude Oil,290000,65000,,19951019,,345,158665.314477,TLP CONCRETE; DRILLING - OIL PRODUCER - PROCESSING - QUARTER,POINT (7.317500000000052 65.32583330000006)
platforms.664,Norway,271833,Operational,GULLFAKS A,Gravity-based concrete,Above water production,Equinor Energy AS,NO_34/10,Crude Oil,340000,48590,,19861221,,133,125577.942493,CONDEEP 4 SHAFTS; DRILLING - OIL PRODUCER - PROCESSING - QUARTER - STORAGE,POINT (2.1891500000000406 61.17610560000003)
platforms.681,Norway,277573,Decommissioned,HULDRA,Fixed steel,Above water production,Equinor Energy AS,NO_30/2,Natural Gas,7050,4100,,20011121,,125,102123.72906,JACKET 4 LEGS; OIL PRODUCER - WELLHEAD,POINT (2.650325000000066 60.85582500000004)
