FID,country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_from,valid_to,water_depth,coast_dist,remarks,the_geom
platforms.21,Denmark,DK35,Operational,Tyra WC,Fixed steel,Above water production,Mærsk,5504/11,Natural Gas,1499,815,,19840101,,41,210002.399704,Wellhead,POINT (4.74882820800002 55.71545852200006)
platforms.22,Denmark,DK32,Operational,Tyra EF,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,700,3100,,19950101,,37,206740.728192,"Bridge module, processing",POINT (4.801494865000052 55.72186527500003)
platforms.23,Denmark,DK14,Operational,Gorm B,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,1080,945,,19810101,,38,209016.128718,Wellhead,POINT (4.759032454000021 55.57920354300006)
platforms.24,Denmark,DK17,Operational,Gorm E,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,1634,3900,,19810101,,38,208872.107172,Riser. Owner: DONG OIL PIPE AS,POINT (4.761264691000065 55.581422305000046)
platforms.25,Denmark,DK13,Operational,Gorm A,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,1080,1100,,19810101,,38,209000.693624,Wellhead,POINT (4.759263584000053 55.57977807200007)
platforms.26,Denmark,DK19,Operational,Harald A,Fixed steel,Above water production,Mærsk,5604/22,Natural Gas,3800,6000,,19970101,,64,237473.585834,"Wellhead, processing",POINT (4.27347012000007 56.345890015000066)
platforms.28,Denmark,DK04,Operational,Dan C,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,385,100,,19720101,,42,185760.411797,Flare,POINT (5.135707927000055 55.47031416600004)
platforms.29,Denmark,DK31,Operational,Tyra EE,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,1628,1415,,19840101,,37,206706.056992,Riser,POINT (4.801995694000027 55.72140734000004)
platforms.30,Denmark,DK09,Operational,Dan FC,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1700,8700,,19870101,,43,187492.789332,Process/accommodation,POINT (5.107164643000033 55.478882860000056)
platforms.31,Denmark,DK49,Operational,Halfdan BA,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,3050,2500,,20020101,,43,191876.243179,"Wellhead, separation",POINT (5.032284983000068 55.53866351900007)
platforms.32,Denmark,DK64,Operational,Syd Arne - wellhead platform E,Fixed steel,Above water production,Hess Denmark,5604/29,Crude Oil,2224,1932,,20130101,,60,240755.470604,Wellhead platform. Bridge connected to Syd Arne. S./P. = 2224 t /2014 t,POINT (4.232315572000061 56.078889366000055)
platforms.33,Denmark,DK44,Operational,Cecilie,Fixed steel,Above water production,DONG E & P,5604/20,Crude Oil,2000,700,,20030101,,60,207166.993093,"Wellhead, satellite to Siri/removable",POINT (4.761058337000065 56.40275883700008)
platforms.34,Denmark,DK46,Operational,Nini B,Fixed steel,Above water production,DONG E & P,5605/10,Crude Oil,2000,700,,20100101,,60,166737.400503,"Wellhead, satellite to Siri/removable",POINT (5.413858811000068 56.67539801400005)
