FID,id,the_geom,port,port_id,portcode,country,year,tonnagesize,nofvessels,gross_tonnage__gt_thousand,tonnageindex
portvesselsbytonnage.151250,126,POINT (9.937072753999985 57.04888915999999),Aalborg,DKAAL,DK_0DKAAL,DK,2025,From 50 000 to 79 999 gross tonnage,5,283,17
portvesselsbytonnage.151249,126,POINT (9.937072753999985 57.04888915999999),Aalborg,DKAAL,DK_0DKAAL,DK,2025,From 40 000 to 49 999 gross tonnage,7,328,16
portvesselsbytonnage.151248,126,POINT (9.937072753999985 57.04888915999999),Aalborg,DKAAL,DK_0DKAAL,DK,2025,From 30 000 to 39 999 gross tonnage,2,63,15
portvesselsbytonnage.151247,126,POINT (9.937072753999985 57.04888915999999),Aalborg,DKAAL,DK_0DKAAL,DK,2025,From 20 000 to 29 999 gross tonnage,18,420,14
portvesselsbytonnage.151246,126,POINT (9.937072753999985 57.04888915999999),Aalborg,DKAAL,DK_0DKAAL,DK,2025,From 10 000 to 19 999 gross tonnage,47,674,13
portvesselsbytonnage.151245,126,POINT (9.937072753999985 57.04888915999999),Aalborg,DKAAL,DK_0DKAAL,DK,2025,From 9 000 to 9 999 gross tonnage,40,399,12
portvesselsbytonnage.151244,126,POINT (9.937072753999985 57.04888915999999),Aalborg,DKAAL,DK_0DKAAL,DK,2025,From 8 000 to 8 999 gross tonnage,6,51,11
portvesselsbytonnage.151243,126,POINT (9.937072753999985 57.04888915999999),Aalborg,DKAAL,DK_0DKAAL,DK,2025,From 7 000 to 7 999 gross tonnage,21,161,10
portvesselsbytonnage.151242,126,POINT (9.937072753999985 57.04888915999999),Aalborg,DKAAL,DK_0DKAAL,DK,2025,From 6 000 to 6 999 gross tonnage,12,82,9
portvesselsbytonnage.151241,126,POINT (9.937072753999985 57.04888915999999),Aalborg,DKAAL,DK_0DKAAL,DK,2025,From 5 000 to 5 999 gross tonnage,7,39,8
portvesselsbytonnage.151240,126,POINT (9.937072753999985 57.04888915999999),Aalborg,DKAAL,DK_0DKAAL,DK,2025,From 4 000 to 4 999 gross tonnage,46,208,7
portvesselsbytonnage.151239,126,POINT (9.937072753999985 57.04888915999999),Aalborg,DKAAL,DK_0DKAAL,DK,2025,From 3 000 to 3 999 gross tonnage,23,82,6
portvesselsbytonnage.151238,126,POINT (9.937072753999985 57.04888915999999),Aalborg,DKAAL,DK_0DKAAL,DK,2025,From 2 000 to 2 999 gross tonnage,204,530,5
portvesselsbytonnage.151237,126,POINT (9.937072753999985 57.04888915999999),Aalborg,DKAAL,DK_0DKAAL,DK,2025,From 1 000 to 1 999 gross tonnage,105,174,4
portvesselsbytonnage.151236,126,POINT (9.937072753999985 57.04888915999999),Aalborg,DKAAL,DK_0DKAAL,DK,2025,From 500 to 999 gross tonnage,1,1,3
portvesselsbytonnage.151235,126,POINT (9.937072753999985 57.04888915999999),Aalborg,DKAAL,DK_0DKAAL,DK,2025,From 100 to 499 gross tonnage,,,2
portvesselsbytonnage.151234,126,POINT (9.937072753999985 57.04888915999999),Aalborg,DKAAL,DK_0DKAAL,DK,2025,Less than 100 gross tonnage,,,1
portvesselsbytonnage.151251,126,POINT (9.937072753999985 57.04888915999999),Aalborg,DKAAL,DK_0DKAAL,DK,2025,Total,544,3493,0
portvesselsbytonnage.155125,127,POINT (10.222210623000024 56.146860939000135),Århus,DKAAR,DK_0DKAAR,DK,2025,From 200 000 to 249 999 gross tonnage,6,1285,21
