TILL_NR,ORG.NR/PERS.NR,NAVN,ADRESSE,POSTNR,POSTSTED,TILDELINGSTIDSPUNKT,TIDSBEGRENSET,TILL_KOMNR,TILL_KOM,FORMÅL,PRODUKSJONSFORM,ART,ART_KODE,TILL_KAP,TILL_ENHET,TILL_OPPRINNELIG_KAP,TILL_OPPRINNELIG_KAP_ENHET,LOK_NR,LOK_NAVN,LOK_KOMNR,LOK_KOM,LOK_PLASS,VANNMILJØ,LOK_KAP,LOK_ENHET,UTGÅR_DATO,N_GEOWGS84,Ø_GEOWGS84,PROD_OMR,lat_dd,lon_dd
A F 0003,855869942,NORSK INSTITUTT FOR VANNFORSKNING STI,ØKERNVEIEN 94,0579,OSLO,01-06-2017,,3214,FROGN,KOMMERSIELL,SETTEFISK,Torsk,102205,3.70,TN,3.70,TN,10173,SOLBERGSTRAND,3214,FROGN,LAND,FERSKVANN/SALTVANN,7.50,TN,,59.615783,10.652650,,59.615783,10.65265
A F 0003,855869942,NORSK INSTITUTT FOR VANNFORSKNING STI,ØKERNVEIEN 94,0579,OSLO,01-06-2017,,3214,FROGN,KOMMERSIELL,SETTEFISK,Kveite,231101,0.00,TN,3.70,TN,10173,SOLBERGSTRAND,3214,FROGN,LAND,FERSKVANN/SALTVANN,7.50,TN,,59.615783,10.652650,,59.615783,10.65265
A F 0004,855869942,NORSK INSTITUTT FOR VANNFORSKNING STI,ØKERNVEIEN 94,0579,OSLO,01-06-2017,,3214,FROGN,KOMMERSIELL,STAMFISK,Torsk,102205,3.70,TN,3.70,TN,10173,SOLBERGSTRAND,3214,FROGN,LAND,FERSKVANN/SALTVANN,7.50,TN,,59.615783,10.652650,,59.615783,10.65265
A F 0004,855869942,NORSK INSTITUTT FOR VANNFORSKNING STI,ØKERNVEIEN 94,0579,OSLO,01-06-2017,,3214,FROGN,KOMMERSIELL,STAMFISK,Kveite,231101,0.00,TN,3.70,TN,10173,SOLBERGSTRAND,3214,FROGN,LAND,FERSKVANN/SALTVANN,7.50,TN,,59.615783,10.652650,,59.615783,10.65265
A FN 0001,855869942,NORSK INSTITUTT FOR VANNFORSKNING STI,ØKERNVEIEN 94,0579,OSLO,26-08-2025,,3214,FROGN,KOMMERSIELL,MATFISK,Laks,071101,3.80,TN,3.80,TN,10173,SOLBERGSTRAND,3214,FROGN,LAND,FERSKVANN/SALTVANN,7.50,TN,,59.615783,10.652650,,59.615783,10.65265
A FN 0001,855869942,NORSK INSTITUTT FOR VANNFORSKNING STI,ØKERNVEIEN 94,0579,OSLO,26-08-2025,,3214,FROGN,KOMMERSIELL,MATFISK,Ørret,071301,0.00,TN,3.80,TN,10173,SOLBERGSTRAND,3214,FROGN,LAND,FERSKVANN/SALTVANN,7.50,TN,,59.615783,10.652650,,59.615783,10.65265
A FN 0001,855869942,NORSK INSTITUTT FOR VANNFORSKNING STI,ØKERNVEIEN 94,0579,OSLO,26-08-2025,,3214,FROGN,KOMMERSIELL,MATFISK,Regnbueørret,071401,0.00,TN,3.80,TN,10173,SOLBERGSTRAND,3214,FROGN,LAND,FERSKVANN/SALTVANN,7.50,TN,,59.615783,10.652650,,59.615783,10.65265
AA A 0003,971349077,HAVFORSKNINGSINSTITUTTET,POSTBOKS 1870 NORDNES,5817,BERGEN,21-09-2004,,4203,ARENDAL,KOMMERSIELL,STAMFISK,Laks,071101,1.00,TN,1.00,TN,23015,FLØDEVIGEN,4203,ARENDAL,LAND,FERSKVANN/SALTVANN,19.00,TN,,58.424515,8.756882,,58.424515,8.756882
AA A 0003,971349077,HAVFORSKNINGSINSTITUTTET,POSTBOKS 1870 NORDNES,5817,BERGEN,21-09-2004,,4203,ARENDAL,KOMMERSIELL,STAMFISK,Ørret,071301,0.00,TN,1.00,TN,23015,FLØDEVIGEN,4203,ARENDAL,LAND,FERSKVANN/SALTVANN,19.00,TN,,58.424515,8.756882,,58.424515,8.756882
AA A 0003,971349077,HAVFORSKNINGSINSTITUTTET,POSTBOKS 1870 NORDNES,5817,BERGEN,21-09-2004,,4203,ARENDAL,KOMMERSIELL,STAMFISK,Regnbueørret,071401,0.00,TN,1.00,TN,23015,FLØDEVIGEN,4203,ARENDAL,LAND,FERSKVANN/SALTVANN,19.00,TN,,58.424515,8.756882,,58.424515,8.756882
AA A 0003,971349077,HAVFORSKNINGSINSTITUTTET,POSTBOKS 1870 NORDNES,5817,BERGEN,21-09-2004,,4203,ARENDAL,KOMMERSIELL,SETTEFISK,Laks,071101,1.00,TN,1.00,TN,23015,FLØDEVIGEN,4203,ARENDAL,LAND,FERSKVANN/SALTVANN,19.00,TN,,58.424515,8.756882,,58.424515,8.756882
AA A 0003,971349077,HAVFORSKNINGSINSTITUTTET,POSTBOKS 1870 NORDNES,5817,BERGEN,21-09-2004,,4203,ARENDAL,KOMMERSIELL,SETTEFISK,Ørret,071301,0.00,TN,1.00,TN,23015,FLØDEVIGEN,4203,ARENDAL,LAND,FERSKVANN/SALTVANN,19.00,TN,,58.424515,8.756882,,58.424515,8.756882
AA A 0003,971349077,HAVFORSKNINGSINSTITUTTET,POSTBOKS 1870 NORDNES,5817,BERGEN,21-09-2004,,4203,ARENDAL,KOMMERSIELL,SETTEFISK,Regnbueørret,071401,0.00,TN,1.00,TN,23015,FLØDEVIGEN,4203,ARENDAL,LAND,FERSKVANN/SALTVANN,19.00,TN,,58.424515,8.756882,,58.424515,8.756882
AA A 0004,971349077,HAVFORSKNINGSINSTITUTTET,POSTBOKS 1870 NORDNES,5817,BERGEN,01-09-2004,,4203,ARENDAL,KOMMERSIELL,SETTEFISK,Torsk,102205,0.00,TN,9.33,TN,23015,FLØDEVIGEN,4203,ARENDAL,LAND,FERSKVANN/SALTVANN,19.00,TN,,58.424515,8.756882,,58.424515,8.756882
AA A 0004,971349077,HAVFORSKNINGSINSTITUTTET,POSTBOKS 1870 NORDNES,5817,BERGEN,01-09-2004,,4203,ARENDAL,KOMMERSIELL,SETTEFISK,Sei,103201,0.00,TN,9.33,TN,23015,FLØDEVIGEN,4203,ARENDAL,LAND,FERSKVANN/SALTVANN,19.00,TN,,58.424515,8.756882,,58.424515,8.756882
