country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_from,valid_to,water_depth,coast_dist,remarks,lon_dd,lat_dd
Norway,277713,Operational,NJORD A,Floating steel,Above water production,Equinor Energy AS,NO_6407/7,Crude Oil,10701,15405,,19971001,,330,73848.4842263,SEMISUB STEEL; DRILLING - OIL PRODUCER - PROCESSING - QUARTER,7.2015222,64.2709889
Norway,272421,Operational,HEIDRUN,Floating concrete,Above water production,Equinor Energy AS,NO_6507/7,Crude Oil,290000,65000,,19951019,,345,158665.314477,TLP CONCRETE; DRILLING - OIL PRODUCER - PROCESSING - QUARTER,7.3175,65.3258333
Norway,368635,Operational,KRISTIN,Floating steel,Above water production,Equinor Energy AS,NO_6406/2,Natural Gas,56628,19000,,20051103,,360,153627.457556,SEMISUB STEEL; GAS PRODUCER - OIL PRODUCER - PROCESSING - QUARTER,6.5513417,64.9939556
Norway,279785,Operational,ÅSGARD A,Floating steel,Above water production,Equinor Energy AS,NO_6506/12,Crude Oil,,15000,,19990520,,315,154801.277984,FPSO; OFFLOADING - PROCESSING - QUARTER - STORAGE,6.7274444,65.0644167
Norway,279589,Operational,NORNE FPSO,Floating steel,Above water production,Equinor Energy AS,NO_6608/10,Crude Oil,,12372,,19971105,,378,152564.295135,FPSO; OFFLOADING - PROCESSING - QUARTER - STORAGE,8.0883583,66.0272917
Norway,280121,Operational,ÅSGARD B,Floating steel,Above water production,Equinor Energy AS,NO_6506/12,Natural Gas,,33600,,20001004,,300,157341.618451,SEMISUB STEEL; GAS EXPORT - PROCESSING - QUARTER,6.7911861,65.1103722
Norway,403167,Operational,YME WHM,Fixed steel,Above water production,Repsol Norge AS,NO_9/2,Crude Oil,45300,12400,,20211025,,93,103878.278751,MOPUStor; OFFLOADING - STORAGE - WELLHEAD,4.5354361,57.8160889
Norway,272393,Operational,DRAUGEN,Gravity-based concrete,Above water production,OKEA ASA,NO_6407/9,Crude Oil,208000,28000,,19931019,,252,61140.2399368,CONDEEP MONOSHAFT; DRILLING - PROCESSING - QUARTER - STORAGE,7.7826056,64.3531722
Norway,414071,Operational,SKARV FPSO,Fixed steel,Above water production,Aker BP ASA,NO_6507/5,Natural Gas,,17000,,20121231,,368,161436.937328,FPSO; OFFLOADING - PROCESSING - QUARTER - STORAGE,7.6510861,65.6977778
Norway,395215,Operational,6407/7-A-4 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,20040131,,330,73827.1860369,SINGLE WELL TEMPLATE; GAS INJECTION,7.2016028,64.2707194
Norway,287373,Operational,DRAUGEN T,Subsea steel,Subsea,Gassco AS,NO_6406/11,,,,,20001010,,344.5,103355.928933,SUBSEA STRUCTURE; T-CONNECTION,6.4412583,64.2332556
Norway,281829,Operational,DRAUGEN PLEM 105,Subsea steel,Other,OKEA ASA,NO_6407/9,,,,,19931019,,257,59012.0891596,SUBSEA STRUCTURE; PIPELINE END MANIFOLD,7.8371722,64.3471972
Norway,287485,Under construction,VØRING T,,,Gassco AS,,,,,,,,171,25607.5138674,SUBSEA STRUCTURE; T-CONNECTION,4.5991417,62.2193861
Norway,411180,Operational,GOLIAT F,,,Vår Energi ASA,,,,,,20160312,,350,48917.1861615,MULTI WELL TEMPLATE; GAS INJECTION,22.2599333,71.2594
