country,name,n_turbines,power_mw,status,type_inst,updateyear,year,dist_coast,notes,lon_dd,lat_dd
Finland,Ajos 1,1,3,Dismantled,,2025,2005,14.5966830835,Decommission: 2016,24.56,65.658
Finland,Ajos 2-3,2,6,Dismantled,,2025,2008,617.84155917,Decommission: 2016,24.5,65.667
Finland,Ajos 4,1,3,Dismantled,,2025,2008,53.0401498407,Decommission: 2016,24.551,65.658
Finland,Ajos 5,1,3,Dismantled,,2025,2007,627.514721705,Decommission: 2016,24.563,65.65
Finland,Ajos 6-7,2,6,Dismantled,,2025,2008,53.0401498407,Decommission: 2016,24.551,65.658
Finland,Ajos 8-9-10-11,4,12,Dismantled,,2025,2008,53.0401498407,Decommission: 2016,24.551,65.658
Finland,Ajos Repowering Offshore Part,8,26.4,Production,,2025,2017,787.926465333,,24.545,65.668
Finland,Ajos Repowering Onshore Part,5,16,Production,,2025,2017,787.926465333,,24.545,65.668
Finland,Pori Offshore 1 Reposaaren Tuulipuisto,1,2.3,Production,,2025,2010,918.375059946,,21.35,61.62
Finland,Pori-Tahkoluoto Pori 2,10,42,Production,,2025,2017,5511.38505116,,21.26,61.608
Sweden,SeaTwirl 3MW,1,3,Dismantled,,2025,2011,3153.88176936,Decommission: 2019,11.3,58.25
Sweden,Vänern,7,0.021,Production,,2024,2009,113427.734942,,13.378,59.265
Sweden,Vänern Gasslingegrund Offshore,7,21,Production,,2025,2009,113427.734941,,13.378,59.265
Estonia,Loode-Eesti Meretuulepark Hiiumaa,200,1100,Planned,,2024,,8027.17115278,,22.5,59.15
Estonia,Saare,100,600,Planned,,2024,,17436.6770094,,21.67,58.14
Finland,Inkoo Inkoo-Raaseporin,60,300,Planned,,2024,,4411.25466507,,23.89,59.86
Finland,Raahe Maanahkiaisen,70,350,Planned,,2024,,8449.56907721,,24.09,64.58
Finland,Raahe Pertunmatala,24,72,Planned,,2024,,7455.99153798,,24.4,64.78
Finland,Tahkoluoto demonstration,2,30,Approved,,2024,,4185.06674236,,21.3,61.71
Finland,Ulkonahkiainen,70,210,Planned,,2024,,17882.3365362,,23.89,64.61
Finland,Vagskär,98,1960,Planned,,2024,,33035.5801956,,19.74,60.75
Finland,Halla,,1920,Planned,,2024,,33096.2547617,,23.85,65.03
Denmark,Bochers Banke,,1102.5,Planned,,2024,,17145.5506181,,11.36,57.45
Denmark,Frederikshavn Nord,,500,Planned,,2024,,5195.7595305,,10.65,57.68
Denmark,Freya,,1500,Planned,,2024,,60389.9591091,,7.54,57.27
Denmark,Hanstholm Syd,,500,Planned,,2024,,15722.17106,,8.35,57.18
Denmark,Hirtshals Havn Offshore,,350,Planned,,2024,,4444.27710821,,9.88,57.61
Denmark,Hirtshals Havn Syd,,500,Planned,,2024,,7209.97316457,,9.76,57.55
Denmark,Laeso,,540,Planned,,2024,,12084.0242744,,11.4,57.32
Denmark,Thybo,,4000,Planned,,2024,,115086.01864,,6.1,57.07
Denmark,Thybo II,,1760,Planned,,2024,,45544.1360208,,7.86,57.28
Denmark,Vigso Bay,,450,Planned,,2024,,5189.60983377,,8.65,57.17
Estonia,Area 1 - Eesti Energia,,1005,Planned,,2024,,12277.0776112,,24.19,57.98
