lat,lon,effort_kwh,haul_count
76.35,34.2,6951578.166666667,15
76.0,32.9,6332844.15,24
74.75,33.95,6170708.833333333,5
76.05,34.15,6001624.466666667,7
76.1,33.8,4443735.949999999,10
76.0,34.4,4354784.250000001,7
70.35,17.25,4159461.0999999996,163
76.1,34.15,3885530.716666667,8
76.25,34.35,3763691.3333333335,5
76.2,33.35,3709964.533333333,21
70.15,17.15,3543903.85,134
76.45,34.55,3460091.1666666665,3
68.55,12.0,3403438.033333334,135
76.1,33.55,3361943.0666666664,5
75.9,34.6,3273636.1666666665,3
76.05,34.65,3258249.5666666664,6
75.85,34.05,3246483.6,4
76.15,34.7,3244905.0,5
75.85,34.15,3217041.416666667,4
75.65,33.4,3190706.2,6
76.25,33.5,3186486.466666667,7
58.45,9.1,3179728.033333334,432
76.1,33.95,3156424.35,10
76.05,32.65,3139679.1,4
75.65,33.0,3093337.5,2
76.05,34.0,3067702.3499999996,16
70.8,29.6,3059485.816666667,98
70.3,17.25,2908242.866666667,113
75.9,34.65,2900995.5000000005,2
75.9,34.45,2878382.6666666665,2
75.85,34.55,2820529.8333333335,1
75.9,33.5,2778518.8166666664,2
58.35,4.05,2761900.2166666673,108
76.05,33.7,2754668.3,7
76.4,34.45,2736289.3333333335,4
76.0,33.65,2666912.6333333333,5
70.1,17.15,2614967.8833333333,105
70.1,17.2,2577962.3166666664,96
76.35,34.4,2465195.8000000003,3
76.05,34.25,2436330.7333333334,8
76.15,34.6,2351687.233333333,7
75.9,33.3,2322158.7,6
76.35,33.65,2309750.8333333335,9
76.4,34.7,2299847.566666666,12
70.85,29.55,2289489.4666666663,97
76.2,34.6,2276263.2,3
76.15,34.95,2243994.7500000005,14
58.45,9.15,2241219.166666667,214
75.85,34.4,2215583.7333333334,2
70.15,17.2,2145365.516666667,85
76.3,34.35,2133251.8333333335,7
70.4,17.2,2090513.4166666674,83
75.7,33.65,2025602.3333333333,5
76.0,32.75,2011475.65,6
76.15,34.8,2003388.0,9
76.4,34.5,2000821.3333333335,6
76.0,34.3,1994091.6166666665,5
75.85,33.75,1982696.316666667,4
74.6,34.95,1980087.9999999998,5
75.9,33.4,1979834.4666666666,5
70.2,17.15,1964531.533333333,81
76.1,33.3,1960313.8833333333,7
76.0,33.7,1951680.0166666666,3
76.0,33.75,1944806.0333333332,9
59.75,3.2,1940955.9166666665,65
76.25,33.6,1934276.1333333335,5
68.55,11.95,1920509.266666667,75
76.4,34.55,1915765.9166666667,7
76.0,32.85,1909172.2,2
75.9,33.95,1904066.9,2
76.05,33.75,1890188.366666667,6
76.05,33.85,1884184.5833333333,11
76.1,34.4,1866948.866666667,6
58.35,5.75,1828808.283333333,181
75.9,33.45,1816117.4833333334,3
58.65,9.5,1804149.4166666665,180
76.4,34.35,1803399.6666666667,2
76.3,34.1,1802894.7,7
71.55,16.55,1786667.616666667,64
76.25,33.85,1786076.8333333333,9
70.05,17.1,1740227.4666666668,64
75.85,34.6,1735316.1666666665,3
76.2,33.85,1729348.9666666666,6
75.95,32.7,1709883.2000000002,4
58.65,3.75,1704986.8333333333,39
65.35,8.5,1702936.9500000002,3
74.75,33.6,1675224.0,1
58.1,4.8,1666723.8999999997,83
71.5,31.5,1662442.1666666665,1
71.15,23.7,1658748.3000000005,594
76.3,34.2,1657223.666666667,6
75.7,33.95,1634497.7,3
75.9,32.4,1632852.0666666667,7
75.85,34.25,1607665.6666666667,4
61.5,1.75,1598181.4833333332,78
75.85,33.65,1598161.75,1
74.6,35.0,1590578.8333333335,6
58.8,10.05,1544631.083333333,151
76.4,34.2,1539839.5,4
76.35,34.45,1522504.5333333332,4
70.0,16.9,1522039.8333333333,73
60.35,3.15,1515409.7000000004,60
76.15,33.85,1513790.3333333335,4
70.35,17.3,1506272.816666666,58
76.15,34.4,1492548.6666666663,9
75.85,34.7,1478439.5,2
76.15,34.0,1474904.1666666665,6
57.65,4.05,1474729.1333333338,58
75.9,34.25,1469706.8833333333,3
75.65,33.2,1465904.3333333333,4
70.05,17.05,1464580.3666666665,59
71.5,16.65,1457510.4999999998,56
76.0,33.6,1455174.7833333332,7
76.1,34.9,1454468.2,8
76.1,33.45,1452485.433333333,11
75.35,32.6,1450446.7666666668,2
75.6,33.35,1447440.0,4
75.9,34.2,1445068.5,2
76.5,34.2,1442396.4,2
61.4,1.9,1424751.4166666667,73
75.75,33.8,1424622.2,1
76.5,33.85,1423799.0,1
75.95,33.9,1420009.8,5
76.3,34.45,1411292.0333333332,6
58.7,3.65,1410270.9,54
58.05,4.9,1409320.6166666665,72
68.85,13.35,1408876.7833333337,86
75.95,34.25,1407861.15,2
69.55,15.9,1407065.9333333338,122
76.0,33.55,1403195.2,3
61.25,2.15,1388458.5499999996,63
71.65,16.45,1386856.75,53
76.2,35.0,1385118.6666666665,2
76.0,33.9,1379787.1166666667,4
58.65,3.7,1379673.0999999999,43
76.5,34.45,1374673.2,3
70.85,17.3,1369630.1833333336,49
76.35,33.6,1369462.4999999998,6
75.95,34.1,1367348.8333333333,4
70.55,19.2,1361838.3166666667,56
71.5,16.6,1358985.5,50
76.0,33.85,1357106.3666666665,7
75.95,34.2,1352669.5,1
61.55,1.7,1348988.8833333333,56
76.35,34.65,1348551.9166666667,5
75.75,33.85,1344619.0,1
75.1,33.05,1341510.5,2
75.95,34.05,1338336.1,5
76.35,34.3,1337906.5,3
75.75,33.25,1332545.8333333333,4
75.8,34.1,1328758.1666666665,1
