observation_id,site_id,ecosystem,inventory_record_type,site_name,canonical_region,year_raw,year,habitat,species,water_depth_m,depth_range_m,sample_size_n,sediment_or_substrate,sediment_c_stock_g_m2,biomass_c_stock_g_m2,standing_biomass_g_m2,aboveground_biomass_g_m2,belowground_biomass_g_m2,temperature_mean_c,salinity_psu,wave_exposure_index,source_id,raw_workbook,raw_sheet,raw_row_number_excel
obs_site_macroalgae_site_hammerfest_artificial_reefs_hammerfest_barents_sea_norway_25,site_macroalgae_site_hammerfest_artificial_reefs_hammerfest_barents_sea_norway_25,macroalgae,case_study,Hammerfest artificial reefs,Barents Sea,2006–2010,2006,Artificial reef colonization,Saccharina latissima,10.0,,12.0,Concrete and plastic tube reefs,,,,,,,,,src_christie_et_al_2019_summarizing_christie_2011,Norway_Macroalgae_Database.xlsm,Site_Level,28
obs_site_macroalgae_site_kr_tt_y_northern_norway_18,site_macroalgae_site_kr_tt_y_northern_norway_18,macroalgae,true_point_site,Krøttøy,Barents Sea,27.07.2016,2016,Wild kelp population genetics,Saccharina latissima,,coast; 5–10 m commonly sampled,16.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,21
obs_site_macroalgae_site_northern_norway_cultivated_sugar_kelp_depth_experiment_northern_norway_28,site_macroalgae_site_northern_norway_cultivated_sugar_kelp_depth_experiment_northern_norway_28,macroalgae,case_study,Northern Norway cultivated sugar kelp depth experiment,Barents Sea,2021,2021,Cultivated kelp / aquaculture,Saccharina latissima,,"1, 6, and 9 m cultivation depths",,Farmed cultivation lines,,,,,,,,,src_blikra_et_al_2021,Norway_Macroalgae_Database.xlsm,Site_Level,31
obs_site_macroalgae_site_northern_norway_macroalgae_collection_area_near_bod_northern_norway_26,site_macroalgae_site_northern_norway_macroalgae_collection_area_near_bod_northern_norway_26,macroalgae,true_point_site,Northern Norway macroalgae collection area,Barents Sea,October 2014,2014,Wild harvested macroalgae,21 macroalgae species,,,5.0,Intertidal or upper subtidal zone,,,,,,,,,src_biancarosa_et_al_2018,Norway_Macroalgae_Database.xlsm,Site_Level,29
obs_site_macroalgae_site_porsanger_porsangerfjord_northern_norway_20,site_macroalgae_site_porsanger_porsangerfjord_northern_norway_20,macroalgae,true_point_site,Porsanger,Barents Sea,03.08.2016,2016,Wild kelp population genetics,Saccharina latissima,,coast/fjord northern site; exact sampling depth not reported in Table 1,17.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,23
obs_site_macroalgae_site_sommar_y_northern_norway_19,site_macroalgae_site_sommar_y_northern_norway_19,macroalgae,true_point_site,Sommarøy,Barents Sea,13.08.2016,2016,Wild kelp population genetics,Saccharina latissima,,coast; 5–10 m commonly sampled,23.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,22
obs_site_macroalgae_site_b_rdholmen_hardangerfjord_7,site_macroalgae_site_b_rdholmen_hardangerfjord_7,macroalgae,true_point_site,Bårdholmen,Norwegian Sea,08.08.2017,2017,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,30.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,10
obs_site_macroalgae_site_fr_ya_mid_norway_coast_17,site_macroalgae_site_fr_ya_mid_norway_coast_17,macroalgae,true_point_site,Frøya,Norwegian Sea,26.01.2017,2017,Wild kelp population genetics,Saccharina latissima,,coast; 5–10 m commonly sampled,10.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,20
obs_site_macroalgae_site_fuglsetfjorden_sognefjord_12,site_macroalgae_site_fuglsetfjorden_sognefjord_12,macroalgae,true_point_site,Fuglsetfjorden,Norwegian Sea,27.04.2017,2017,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,21.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,15
obs_site_macroalgae_site_gjermundshamn_hardangerfjord_6,site_macroalgae_site_gjermundshamn_hardangerfjord_6,macroalgae,true_point_site,Gjermundshamn,Norwegian Sea,09.11.2017,2017,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,27.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,9
obs_site_macroalgae_site_hafrsfjord_north_sea_southwest_norway_2,site_macroalgae_site_hafrsfjord_north_sea_southwest_norway_2,macroalgae,true_point_site,Hafrsfjord,Norwegian Sea,01.06.2018,2018,Wild kelp population genetics,Saccharina latissima,,coast; 5–10 m commonly sampled,30.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,5
obs_site_macroalgae_site_hardangerfjord_historical_macroalgae_resurvey_hardangerfjord_west_norway_27,site_macroalgae_site_hardangerfjord_historical_macroalgae_resurvey_hardangerfjord_west_norway_27,macroalgae,regional_survey,Hardangerfjord historical macroalgae resurvey,Norwegian Sea,1955–1956 baseline; resurvey published 2014,1955,Fjord macroalgal communities,Mixed macroalgae community,,,22.0,Mixed hard-bottom macroalgal habitats,,,,,,,,,src_husa_et_al_2014,Norway_Macroalgae_Database.xlsm,Site_Level,30
obs_site_macroalgae_site_kilstraumen_sognefjord_9,site_macroalgae_site_kilstraumen_sognefjord_9,macroalgae,true_point_site,Kilstraumen,Norwegian Sea,28.04.2017,2017,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,21.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,12
obs_site_macroalgae_site_klosterfjord_hardangerfjord_3,site_macroalgae_site_klosterfjord_hardangerfjord_3,macroalgae,true_point_site,Klosterfjord,Norwegian Sea,10.11.2017,2017,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,29.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,6
obs_site_macroalgae_site_korsfjorden_southwest_norway_coast_8,site_macroalgae_site_korsfjorden_southwest_norway_coast_8,macroalgae,true_point_site,Korsfjorden,Norwegian Sea,30.03.2017,2017,Wild kelp population genetics,Saccharina latissima,,coast; 5–10 m commonly sampled,17.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,11
obs_site_macroalgae_site_leikanger_sognefjord_13,site_macroalgae_site_leikanger_sognefjord_13,macroalgae,true_point_site,Leikanger,Norwegian Sea,25.04.2017,2017,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,25.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,16
obs_site_macroalgae_site_l_nefjorden_sognefjord_14,site_macroalgae_site_l_nefjorden_sognefjord_14,macroalgae,true_point_site,Lånefjorden,Norwegian Sea,26.04.2017,2017,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,19.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,17
