habitat_id,ecosystem,habitat_type,naturbase_id,habitat_name,value_code,value_label,municipality,canonical_region,habitat_area_m2,centroid_lon,centroid_lat,protected_area_m2,mpa_area_m2,nearest_protected_distance_m,nearest_mpa_distance_m,nearest_dredging_distance_m,nearest_akvakultur_distance_m,nearest_platform_distance_m,nearest_windfarm_distance_m,dredging_within_1km_n,dredging_within_5km_n,dredging_within_10km_n,akvakultur_within_1km_n,akvakultur_within_5km_n,akvakultur_within_10km_n,platforms_within_1km_n,platforms_within_5km_n,platforms_within_10km_n,windfarms_within_1km_n,windfarms_within_5km_n,windfarms_within_10km_n,study_sites_within_1km_n,study_sites_within_5km_n,study_sites_within_10km_n,percent_protected,percent_mpa,colocation_pressure_index,evidence_gap_flag,high_pressure_low_protection_flag
seagrass_eelgrass_0_BM00000866,seagrass,eelgrass,BM00000866,Gripnesvågen vest,A,Svært viktig,Tysnes (4616),Norwegian Sea,29184.331522326316,5.657063749904305,60.067128870687974,0.0,0.0,6795.5628985695275,65164.4304553187,23545.77980846353,13732.344761690489,89306.8431933733,318950.76673026074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_1_BM00000994,seagrass,eelgrass,BM00000994,Taulevågen,C,Lokalt viktig,Alver (4631),Norwegian Sea,220472.04588036917,5.115020676670883,60.64347715329769,196469.0905263448,196469.0905263448,0.0,0.0,26401.387695351263,6802.225496419666,46752.09300457093,376889.4035175578,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,89.11292574159326,89.11292574159326,0,True,False
seagrass_eelgrass_2_BM00015038,seagrass,eelgrass,BM00015038,Vestrevågen,C,Lokalt viktig,Alver (4631),Norwegian Sea,422.17532678714434,5.172234633252154,60.70087119797705,163.33739731361825,163.33739731361825,0.0,0.0,26134.191083907463,5317.285718839992,51010.650120152524,378487.4609798596,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,38.68947021529067,38.68947021529067,0,True,False
seagrass_eelgrass_3_BM00032906,seagrass,eelgrass,BM00032906,Kvalvågspøyla,B,Viktig,Sveio (4612),Skagerrak,18200.981012027183,5.444834883358133,59.53280574973485,0.0,0.0,8479.960825326583,78748.74035354747,20978.513732934873,16080.083036919294,31817.346016382355,277690.9040454402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_4_BM00032907,seagrass,eelgrass,BM00032907,Sævarhagsvikjo,B,Viktig,Stord (4614),Skagerrak,83297.82753931756,5.534760709703217,59.801588028088624,0.0,0.0,413.2240678170238,92327.24207792872,9226.817417438931,8857.683040379317,59402.601215254464,305826.1288321564,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0.0,0.0,0,True,False
seagrass_eelgrass_5_BM00032910,seagrass,eelgrass,BM00032910,Pollen,B,Viktig,Fitjar (4615),Skagerrak,18206.103591912295,5.351171454575602,59.96345841236261,0.0,0.0,7474.294500682243,73249.90434387948,22120.14370537547,15264.307648658261,73032.08400432029,326149.58193651563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_6_BM00032911,seagrass,eelgrass,BM00032911,Gripnesvågen,B,Viktig,Tysnes (4616),Norwegian Sea,316291.85899266985,5.662660014376442,60.06728722359278,0.0,0.0,6805.350865954386,64981.00980982441,23307.101322330138,13680.9491398124,89250.73380285798,318582.9190523893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_7_BM00032912,seagrass,eelgrass,BM00032912,Nordhusvågen,B,Viktig,Kvinnherad (4617),Skagerrak,220026.49461642426,5.710821315614292,59.750490248947614,0.0,0.0,692.137833359827,99836.11667621728,4620.720026885138,18097.414416650918,60081.99029998055,296495.8171220692,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1,False,True
seagrass_eelgrass_8_BM00032913,seagrass,eelgrass,BM00032913,Bjellandshamn,B,Viktig,Kvinnherad (4617),Skagerrak,70342.71976319607,5.692448411598993,59.835851865876926,0.0,0.0,2804.624578963435,90413.79033038179,4636.642697757828,12450.726412772678,67238.56920586497,305921.24757578305,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1,True,True
seagrass_eelgrass_9_BM00032914,seagrass,eelgrass,BM00032914,Pøyla,B,Viktig,Bjørnafjorden (4624),Norwegian Sea,40993.70407836888,5.388868263510688,60.221444420083415,0.0,0.0,4253.788818122855,44771.02221834824,14967.776674592002,17998.946090241996,75459.22335461719,340307.58433610905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,True,False
