site_id,site_name,study_ecosystem,canonical_region,source_short,habitat_id,habitat_ecosystem,habitat_type,habitat_name,naturbase_habitat_id,naturbase_value_code
site_macroalgae_site_kr_tt_y_northern_norway_18,Krøttøy,macroalgae,Barents Sea,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_northern_norway_macroalgae_collection_area_near_bod_northern_norway_26,Northern Norway macroalgae collection area,macroalgae,Barents Sea,Biancarosa et al. (2018),,,,,,
site_macroalgae_site_porsanger_porsangerfjord_northern_norway_20,Porsanger,macroalgae,Barents Sea,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_sommar_y_northern_norway_19,Sommarøy,macroalgae,Barents Sea,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_b_rdholmen_hardangerfjord_7,Bårdholmen,macroalgae,Norwegian Sea,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_fr_ya_mid_norway_coast_17,Frøya,macroalgae,Norwegian Sea,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_fuglsetfjorden_sognefjord_12,Fuglsetfjorden,macroalgae,Norwegian Sea,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_gjermundshamn_hardangerfjord_6,Gjermundshamn,macroalgae,Norwegian Sea,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_hafrsfjord_north_sea_southwest_norway_2,Hafrsfjord,macroalgae,Norwegian Sea,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_kilstraumen_sognefjord_9,Kilstraumen,macroalgae,Norwegian Sea,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_klosterfjord_hardangerfjord_3,Klosterfjord,macroalgae,Norwegian Sea,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_korsfjorden_southwest_norway_coast_8,Korsfjorden,macroalgae,Norwegian Sea,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_leikanger_sognefjord_13,Leikanger,macroalgae,Norwegian Sea,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_l_nefjorden_sognefjord_14,Lånefjorden,macroalgae,Norwegian Sea,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_nyhamnarsundet_sognefjord_10,Nyhamnarsundet,macroalgae,Norwegian Sea,Ribeiro et al. (2022),macroalgae_kelp_forest_3577_BM00121771,macroalgae,kelp_forest,Hisarøyna nord,BM00121771,A
site_macroalgae_site_oppedalsvika_sognefjord_11,Oppedalsvika,macroalgae,Norwegian Sea,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_risnesstraumen_sognefjord_15,Risnesstraumen,macroalgae,Norwegian Sea,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_runde_mid_norway_coast_16,Runde,macroalgae,Norwegian Sea,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_skjerring_hardangerfjord_5,Skjerring,macroalgae,Norwegian Sea,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_solesnes_hardangerfjord_4,Solesnes,macroalgae,Norwegian Sea,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_outer_oslofjord_outer_oslofjord_skagerrak_0,Outer Oslofjord,macroalgae,Skagerrak,Ribeiro et al. (2022),,,,,,
site_macroalgae_site_s_gne_skagerrak_1,Søgne,macroalgae,Skagerrak,Ribeiro et al. (2022),,,,,,
site_seagrass_site_porsanger_north_barents_sea_5,Porsanger,seagrass,Barents Sea,Gagnon et al. 2024,,,,,,
site_seagrass_site_r_vik_west_norwegian_sea_6,Røvik,seagrass,Norwegian Sea,Gagnon et al. 2024; Rohr et al 2018,,,,,,
site_seagrass_site_kapellkilen_south_east_oslofjord_2,Kapellkilen,seagrass,Oslofjord,Gagnon et al. 2024,,,,,,
site_seagrass_site_sandspollen_south_east_oslofjord_7,Sandspollen,seagrass,Oslofjord,Gagnon et al. 2024,,,,,,
site_seagrass_site_hove_south_west_skagerrak_1,Hove,seagrass,Skagerrak,Gagnon et al. 2024,,,,,,
site_seagrass_site_langerompa_south_west_skagerrak_3,Langerompa,seagrass,Skagerrak,Gagnon et al. 2024,,,,,,
site_seagrass_site_merd_south_west_skagerrak_4,Merdø,seagrass,Skagerrak,Gagnon et al. 2024,,,,,,
site_seagrass_site_s_mskilen_south_west_skagerrak_8,Sømskilen,seagrass,Skagerrak,Gagnon et al. 2024,seagrass_eelgrass_668_BM00043845,seagrass,eelgrass,Sømskilen,BM00043845,A
site_seagrass_site_r_ya_south_west_skagerrak_9,Ærøya,seagrass,Skagerrak,Gagnon et al. 2024,seagrass_eelgrass_522_BM00043699,seagrass,eelgrass,Ærøya,BM00043699,B
