co_benefit,metric,value,uncertainty,unit,geographic_scope,year,data_source,data_quality,norway_specific,notes
Biodiversity,Norwegian Nature Index — coastal waters (NI score),0.766,SD = 0.011,index (0–1),National,2024.0,NINA / Naturindeks 2025,high — national monitoring programme,True,Score of 1 = reference (undisturbed) state; 0.766 indicates moderate condition
Biodiversity,Infaunal species richness — eelgrass vs unvegetated,,,qualitative,Skagerrak / W Norway sites,,Boström et al. 2014 (cited in roadmap),medium — site-level comparison,True,Eelgrass supports higher infaunal diversity than unvegetated sediments at Norwegian sites
Fisheries / nursery habitat,"Eelgrass nursery function for juvenile cod, flatfish",,,qualitative,Norway / Nordic,,Literature (global/Nordic),low — no Norway-specific quantification,False,No Norwegian study quantifies fish biomass or yield attributable to eelgrass area
Coastal protection,Wave attenuation by eelgrass canopy,,,qualitative,Global literature,,Ondiviela et al. 2014; Infantes et al. 2022,low — no Norway-specific measurement,False,No Norwegian empirical quantification of coastal protection by eelgrass. Root/rhizome sediment stabilization well-established globally.
Economic valuation (blue carbon),Annual value of seagrass carbon sequestration (EU ETS),,,million USD yr⁻¹,National,2024.0,Derived — EU ETS 2024 price × sequestration estimate,"medium — price is market rate, sequestration is Tier 2",True,See step2_valuation.csv for full price-scenario breakdown
Biodiversity — NI indicator,Alke,1.0,"q025=0.847, q975=1.0",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Berggylte,0.376,"q025=0.2237, q975=0.5363",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Blåskjell,0.6773,"q025=0.6623, q975=0.6945",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Bløtbunn artsmangfold fauna kyst,0.7874,"q025=0.7823, q975=0.7932",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,blue_carbon_relevant
Biodiversity — NI indicator,Bløtbunn eutrofiindeks,0.8058,"q025=0.8025, q975=0.8093",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,blue_carbon_relevant
Biodiversity — NI indicator,Dyreplankton artssammensetning,0.8669,"q025=0.8274, q975=0.9026",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Fiskemåke kyst,0.8881,"q025=0.8819, q975=0.8938",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Gråmåke,0.4136,"q025=0.2562, q975=0.6029",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Grønngylte,0.5765,"q025=0.3732, q975=0.7558",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Hardbunn vegetasjon algeindeks,0.7611,"q025=0.7564, q975=0.7663",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,blue_carbon_relevant
Biodiversity — NI indicator,Hardbunn vegetasjon nedre voksegrense,0.7633,"q025=0.7592, q975=0.7676",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,blue_carbon_relevant
Biodiversity — NI indicator,Havelle,0.6973,"q025=0.2884, q975=0.9834",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Havhest,0.2696,"q025=0.0258, q975=0.6938",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Havørn,0.8272,"q025=0.639, q975=0.936",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Hyse,0.9571,"q025=0.9413, q975=0.9743",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Krykkje,0.3625,"q025=0.2623, q975=0.4715",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
