canonical_region,ecosystem,value_code,value_label,n_polygons,total_area_km2,median_pressure_index,max_pressure_index,pct_area_unprotected_permissive,pct_area_in_strict_mpa,pct_area_in_substantive,n_high_pressure_no_strict_protection,pct_area_high_pressure_no_strict_protection,n_high_pressure_no_substantive_protection,n_with_study_site_within_5km,pct_with_study_site_within_5km
Barents Sea,macroalgae,A,Svært viktig,204,965.59,0.0,1,86.1,1.75,2.8,3,0.33,3,4,2.0
Barents Sea,macroalgae,B,Viktig,835,144.32,0.0,17,82.9,4.69,4.74,35,1.92,35,7,0.8
Barents Sea,seagrass,A,Svært viktig,28,3.97,0.0,4,92.6,0.0,0.0,12,21.95,12,1,3.6
Barents Sea,seagrass,B,Viktig,8,0.53,0.0,2,100.0,0.0,0.0,2,20.43,2,0,0.0
Barents Sea,seagrass,C,Lokalt viktig,319,1.35,0.0,17,77.6,2.58,2.58,27,12.25,27,26,8.2
Norwegian Sea,macroalgae,A,Svært viktig,686,2554.36,0.0,36,77.2,1.88,1.88,25,12.06,25,6,0.9
Norwegian Sea,macroalgae,B,Viktig,4136,525.77,0.0,36,83.4,0.23,0.23,226,3.73,226,44,1.1
Norwegian Sea,macroalgae,C,Lokalt viktig,11,0.29,0.0,11,100.0,0.0,0.0,1,4.65,1,0,0.0
Norwegian Sea,seagrass,A,Svært viktig,67,7.83,0.0,20,69.4,1.73,1.73,5,0.47,5,2,3.0
Norwegian Sea,seagrass,B,Viktig,139,6.78,0.0,6,82.6,5.13,5.13,11,5.15,11,1,0.7
Norwegian Sea,seagrass,C,Lokalt viktig,472,2.62,0.0,11,79.1,7.51,7.51,42,5.31,42,11,2.3
Skagerrak,macroalgae,A,Svært viktig,367,313.73,0.0,12,29.1,20.6,31.33,44,24.84,27,23,6.3
Skagerrak,macroalgae,B,Viktig,1002,37.22,0.0,24,71.3,0.07,18.61,140,17.98,94,63,6.3
Skagerrak,macroalgae,C,Lokalt viktig,2,0.07,2.0,4,100.0,0.0,0.0,1,61.19,1,0,0.0
Skagerrak,seagrass,A,Svært viktig,339,24.6,0.0,16,79.4,0.0,3.57,86,35.32,70,22,6.5
Skagerrak,seagrass,B,Viktig,1176,10.39,0.0,48,92.8,0.0,3.33,98,15.44,76,73,6.2
Skagerrak,seagrass,C,Lokalt viktig,1795,7.05,0.0,36,89.5,0.63,5.36,395,20.15,392,163,9.1
